"","Code BDV","Priorisation","Dep2T","Dep1T","Agriculteurs","PopFR","Chomeurs","NBRINS"
"44",3352219,"Non Prioritaire",41.4507772020725,29.9504950495049,0.1402524544,82.0476858345,8.4151472651,1029
"45",3352220,"Non Prioritaire",42.9824561403509,26.1306532663317,0,94.2652329749,10.0358422939,936
"46",3352221,"Peu Prioritaire",41.421568627451,26.1904761904762,0.0266737797,84.6359029074,10.4561216324,1187
"47",3355010,"Prioritaire",46.3312368972746,34.3434343434343,0.2340550029,93.9730836747,4.2129900527,1122
"48",3355011,"Prioritaire",50.8599508599509,31.9444444444444,0.0962463908,95.4764196343,4.1385948027,1002
"49",3355012,"Prioritaire",48.2758620689655,34.6555323590814,0,96.9483568075,4.2253521127,886
"50",3355013,"Tres Prioritaire",45.9134615384615,31.4685314685315,0,97.2648432288,4.2028018679,859
"51",3355014,"Prioritaire",44.421052631579,33.7423312883436,0.1658374793,96.600331675,4.311774461,1001
"52",3355015,"Peu Prioritaire",39.6713615023474,27.9220779220779,0.0919117647,93.4742647059,5.9742647059,977
"53",3355016,"Peu Prioritaire",50.3722084367246,37.2641509433962,0,91.9626168224,6.8224299065,851
"54",3355017,"Tres Prioritaire",52.3584905660377,39.0995260663507,0,97.4113135187,4.0268456376,1033
"55",3355018,"Tres Prioritaire",49.6420047732697,34.6846846846847,0,97.385620915,4.0149393091,922
"56",3355019,"Tres Prioritaire",40.6947890818859,25.9770114942528,0,96.9298245614,3.9473684211,892
"57",3355020,"Tres Prioritaire",48.4261501210654,32.5942350332594,0,99.1397849462,2.688172043,828
"58",3355021,"Non Prioritaire",37.9227053140097,28.5087719298245,0,91.3663034367,7.0410729254,1026
"59",3355022,"Peu Prioritaire",51.5625,34.6341463414634,0,93.6863543788,5.7026476578,560
"60",3355023,"Non Prioritaire",42.4892703862661,30.4182509505703,0,89.4238358327,8.1294396212,654
"61",330635101,"Non Prioritaire",29.4736842105263,18.8854489164087,0.0606244316,84.4801454986,11.7914519551,882
"62",330635102,"Peu Prioritaire",32.4120603015075,20.5689277899344,0.1006036217,85.3621730382,10.814889336,1002
